H1	-673280.821319	-499590.045985
S2	-749914.163774	-743936.777706
H3	-499903.862409	-499423.927691
S4	-749946.762106	-748071.135361
H5	-499850.881036	-499416.310667
S6	-749935.975	-746041.654971
H7	-499911.296759	-486704.690482
S8	-749944.738215	749837.389844
H9	-499849.909088	-499264.238333
S10	-749987.969582	-749933.112208
H11	-499829.291602	-499357.251078
S12	-749923.285748	-745942.058355
H13	-499865.344568	-497862.748984
S14	-749992.161934	749638.885158
H15	-499845.944401	-492651.391543
S16	-749997.855936	749656.079659
H17	-499836.880589	-499227.804455
S18	-749987.560035	-749883.837255
H19	-499856.824912	499844.891645
S20	-749996.617482	749968.656998
H21	-499929.758345	499905.177376
S22	-749912.82938	749984.935316
H23	-499823.101028	-499349.64213
S24	-749935.388464	-746575.90407
H25	-499877.738075	499861.484753
S26	-749985.342025	749955.500235
H27	-499833.230136	-497124.222325
S28	-749998.271393	749487.604928
H29	-499841.294163	499839.560134
S30	-749999.43105	749982.968754
H31	-499812.57916	-499325.591132
S32	-749910.468153	-745421.412876
H33	-499823.015571	-499283.279912
S34	-749985.270028	-749133.023791
H35	-499885.508376	-497192.600398
S36	-749977.651952	749342.416143
H37	-499849.266354	-492559.280447
S38	-749997.10419	749727.734831
H39	-499929.725919	-498831.123151
S40	-749909.471424	748066.613965
H41	-499830.38366	499834.69922
S42	-749999.434152	749981.519359
H43	-499804.478299	-499306.491746
S44	-749934.310663	-746452.258328
H45	-499814.98325	-495607.399106
S46	-749994.123952	749595.522724
H47	-499834.381368	-483796.492721
S48	-749998.77769	749757.154666
H49	-499897.567181	-499477.64895
S50	-749950.359904	-747803.85142
H51	-499812.811113	499828.74683
S52	-749994.374123	749974.549639
H53	-499857.279991	-499338.294686
S54	-749979.977725	-749452.471914
H55	-499789.784817	-499222.485174
S56	-749976.845964	-733121.463664
H57	-499764.130184	-499163.780573
S58	-749944.131302	-746244.194941
H59	-499820.169473	-482632.621215
S60	-749996.593856	749737.562707
H61	-499839.995325	-499380.598897
S62	-749974.491366	-749211.017644
H63	-499833.745506	-499292.822783
S64	-749987.689889	-749707.583739
H65	-499901.823736	-499591.842223
S66	-749913.954614	-744329.891149
H67	-499755.624833	-499096.113137
S68	-749914.092384	-744672.680808
H69	-499850.263752	-499429.431731
S70	-749914.321167	-745042.675541
H71	-499737.907556	499755.220302
S72	-749928.286273	749783.16997
H73	-499824.42527	-499275.500008
S74	-749989.923141	-748216.893861
H75	-499716.04427	-499117.487841
S76	-749900.559223	-742253.380778
H77	-499750.305889	499806.487437
S78	-749944.742033	749993.53109
H79	-499829.486498	-499373.544844
S80	-749902.549852	-744648.596688
H81	-499806.459438	-499041.308007
S82	-749987.680718	-728328.476025
H83	-499779.518202	499805.595847
S84	-749973.223157	749700.888011
H85	-499820.145525	-499349.832071
S86	-749909.090869	-744897.656728
H87	-499819.398256	-499351.996379
S88	-749938.442312	-746515.085131
H89	-499804.043733	-499267.28308
S90	-749965.122466	-748393.369565
H91	-499710.010877	-498208.737458
S92	-749892.453769	749515.390175
H93	-499748.922629	-499074.303535
S94	-749936.100031	-746547.232903
H95	-499804.533936	-499282.860198
S96	-749897.046675	-744547.029517
H97	-499763.709686	-499128.556797
S98	-749917.190654	-745109.904868
