H1	672895.873204	499610.901701	499610.683412
S2	737672.843191	742904.121932	736929.168903
H3	499645.882229	499598.270437	499639.607136
S4	739428.927505	745642.650333	738158.763935
H5	499394.008787	499401.676055	499389.729554
S6	738287.21686	744382.448671	736854.797386
H7	499691.965166	499396.507399	499679.774755
S8	740477.313104	745556.656452	737652.422605
H9	499394.468015	499359.963695	499388.199764
S10	743523.372356	749132.605268	740741.21935
H11	499278.60944	499317.987793	499277.786395
S12	738873.960016	744367.454115	737542.921852
H13	499488.845445	499196.761886	499477.118882
S14	745467.931643	747445.814325	743302.49282
H15	499377.238322	499106.545445	499370.389267
S16	748050.379527	748154.383858	743774.637887
H17	499310.11851	499338.206522	499309.914634
S18	744485.043253	749679.227357	740747.800538
H19	499447.037339	498145.524887	499609.311882
S20	748679.027047	-744756.931697	749643.765304
H21	499763.931085	491372.188765	499893.411248
S22	740580.676536	-749600.142216	749778.365938
H23	499238.612999	499304.680796	499242.073379
S24	738085.034427	744387.922544	736440.777043
H25	499553.74493	-499846.055261	499861.289561
S26	745629.559107	-749605.212477	749984.849964
H27	499287.821334	499164.511003	499290.047059
S28	747878.320981	749084.068016	743469.600559
H29	499343.669802	497517.114023	499603.604406
S30	749998.817493	-748005.186214	749842.969267
H31	499192.232733	499265.705166	499197.981137
S32	739029.047164	743691.272106	737908.093377
H33	499225.554482	499313.337783	499231.605712
S34	742332.397403	748865.858544	739302.84281
H35	499582.673717	-499880.227566	499888.599828
S36	743440.478419	-749937.799788	749982.426204
H37	499397.535189	-499843.773002	499851.543606
S38	747761.111864	-749861.138049	749998.646912
H39	499756.107049	-499919.728837	499931.559263
S40	739258.727954	-749916.149015	749915.810926
H41	499265.878899	495837.333764	499655.46386
S42	747777.839032	-748843.674781	749951.892008
H43	499151.736504	499235.927568	499159.005284
S44	737603.504749	743571.672739	736358.313655
H45	499172.290029	499177.871481	499185.021375
S46	744086.958197	748864.384076	738616.587528
H47	499296.815497	-499827.843554	499834.054963
S48	748776.09695	-749794.693746	749999.595499
H49	499614.332302	-499895.972637	499898.756633
S50	738160.215779	-749970.233587	749953.453265
H51	499156.454229	497418.130273	499547.079439
S52	741816.176478	-748506.889821	749906.86141
H53	499431.766593	-499857.237128	499858.585849
S54	741626.669678	-749996.243858	749982.800637
H55	499057.637149	499213.728909	499070.177694
S56	738349.127184	747334.329469	733810.34583
H57	498982.205217	499083.759707	498991.132916
S58	735316.311621	743101.683473	733921.781601
H59	499201.592252	-499820.740107	499817.385187
S60	746026.434186	-749776.620593	749998.210946
H61	499332.14127	-499841.731097	499840.404868
S62	741528.672355	-749996.260882	749977.810696
H63	499292.720576	-499835.960313	499833.527555
S64	744782.476477	-749996.081895	749990.540179
H65	499619.307566	-499901.471138	499902.559969
S66	737516.80916	-749935.136724	749916.414158
H67	498993.424423	499051.148235	499000.966121
S68	736569.594018	741641.171683	735841.439732
H69	499393.422358	-499851.104923	499850.859187
S70	738856.571923	-749941.148793	749917.228369
H71	498839.066295	499167.613987	498859.788181
S72	736965.889289	745812.130131	732593.080846
H73	499234.40031	-499828.645035	499823.109449
S74	742939.237843	-749992.736856	749992.511565
H75	498789.374036	498968.639468	498802.598379
S76	737565.878531	743703.273421	736810.521864
H77	498880.887759	496338.204449	499526.404654
S78	735428.489934	-749505.574809	749884.710947
H79	499285.939126	-499831.701093	499829.597305
S80	738419.29272	-749933.757715	749906.384158
H81	499134.482078	-499813.924636	499804.047159
S82	740825.64264	-749975.081516	749990.432157
H83	499002.103944	-499788.397	499774.981332
S84	739778.052061	-749818.559861	749979.2296
H85	499231.342791	-499823.523391	499819.601839
S86	738993.184504	-749942.09138	749913.34747
H87	499217.338166	-499823.856351	499818.322351
S88	738430.915042	-749968.989414	749942.215753
H89	499142.137242	-499809.963085	499802.487785
S90	737223.564146	-749987.937988	749967.867805
H91	498753.808867	-499730.170684	499706.234917
S92	736861.474137	-749912.116483	749900.340774
H93	498916.14537	-499757.963383	499746.862083
S94	735972.701752	-749959.787326	749939.637849
H95	499160.367094	-499809.699988	499803.198754
S96	738588.620464	-749927.376017	749900.482065
H97	499016.671252	-499769.442497	499762.374707
S98	737129.914561	-749939.581611	749919.691712
