NumRegions = 25
-7.570711, -7.570711	-12.429289, -7.570711	-12.429289, -12.429289	-7.570711, -12.429289	
-2.570711, -7.570711	-7.429289, -7.570711	-7.429289, -12.429289	-2.570711, -12.429289	
-7.570711, -7.429289	-7.570711, -2.570711	-12.429289, -2.570711	-12.429289, -7.429289	
-7.429289, -7.429289	-7.429289, -2.570711	-2.570711, -2.570711	-2.570711, -7.429289	
-2.429289, -12.429289	2.429289, -12.429289	2.429289, -7.570711	-2.429289, -7.570711	
-7.570711, 2.429289	-12.429289, 2.429289	-12.429289, -2.429289	-7.570711, -2.429289	
-2.429289, -7.429289	2.429289, -7.429289	2.429289, -2.570711	-2.429289, -2.570711	
-7.429289, 2.429289	-7.429289, -2.429289	-2.570711, -2.429289	-2.570711, 2.429289	
2.570711, -12.429289	7.429289, -12.429289	7.429289, -7.570711	2.570711, -7.570711	
-7.570711, 2.570711	-7.570711, 7.429289	-12.429289, 7.429289	-12.429289, 2.570711	
-2.429289, -2.429289	2.429289, -2.429289	2.429289, 2.429289	-2.429289, 2.429289	
7.429289, -2.570711	2.570711, -2.570711	2.570711, -7.429289	7.429289, -7.429289	
-7.429289, 2.570711	-7.429289, 7.429289	-2.570711, 7.429289	-2.570711, 2.570711	
7.429289, 2.429289	2.570711, 2.429289	2.570711, -2.429289	7.429289, -2.429289	
2.429289, 7.429289	-2.429289, 7.429289	-2.429289, 2.570711	2.429289, 2.570711	
12.429289, -12.429289	12.429289, -7.570711	7.570711, -7.570711	7.570711, -12.429289	
-7.570711, 7.570711	-7.570711, 12.429289	-12.429289, 12.429289	-12.429289, 7.570711	
12.429289, -2.570711	12.429289, -7.429289	7.570711, -7.429289	7.570711, -2.570711	
-7.429289, 7.570711	-7.429289, 12.429289	-2.570711, 12.429289	-2.570711, 7.570711	
7.429289, 7.429289	2.570711, 7.429289	2.570711, 2.570711	7.429289, 2.570711	
7.570711, 2.429289	12.429289, 2.429289	12.429289, -2.429289	7.570711, -2.429289	
2.429289, 7.570711	-2.429289, 7.570711	-2.429289, 12.429289	2.429289, 12.429289	
12.429289, 7.429289	7.570711, 7.429289	7.570711, 2.570711	12.429289, 2.570711	
7.429289, 7.570711	7.429289, 12.429289	2.570711, 12.429289	2.570711, 7.570711	
7.570711, 7.570711	12.429289, 7.570711	12.429289, 12.429289	7.570711, 12.429289	
