NumRegions = 25
-9.494975, -9.494975	-14.505025, -9.494975	-14.505025, -14.505025	-9.494975, -14.505025	
-3.494975, -9.494975	-8.505025, -9.494975	-8.505025, -14.505025	-3.494975, -14.505025	
-9.494975, -8.505025	-14.505025, -8.505025	-14.505025, -3.494975	-9.494975, -3.494975	
-8.505025, -8.505025	-8.505025, -3.494975	-3.494975, -3.494975	-3.494975, -8.505025	
-2.505025, -9.494975	2.505025, -9.494975	2.505025, -14.505025	-2.505025, -14.505025	
-9.494975, -2.505025	-9.494975, 2.505025	-14.505025, 2.505025	-14.505025, -2.505025	
-2.505025, -8.505025	2.505025, -8.505025	2.505025, -3.494975	-2.505025, -3.494975	
-8.505025, -2.505025	-3.494975, -2.505025	-3.494975, 2.505025	-8.505025, 2.505025	
8.505025, -14.505025	8.505025, -9.494975	3.494975, -9.494975	3.494975, -14.505025	
-9.494975, 8.505025	-14.505025, 8.505025	-14.505025, 3.494975	-9.494975, 3.494975	
-2.505025, 2.505025	-2.505025, -2.505025	2.505025, -2.505025	2.505025, 2.505025	
8.505025, -3.494975	3.494975, -3.494975	3.494975, -8.505025	8.505025, -8.505025	
-8.505025, 8.505025	-8.505025, 3.494975	-3.494975, 3.494975	-3.494975, 8.505025	
8.505025, 2.505025	8.505025, -2.505025	3.494975, -2.505025	3.494975, 2.505025	
2.505025, 8.505025	2.505025, 3.494975	-2.505025, 3.494975	-2.505025, 8.505025	
14.505025, -14.505025	9.494975, -14.505025	9.494975, -9.494975	14.505025, -9.494975	
-9.494975, 14.505025	-14.505025, 14.505025	-14.505025, 9.494975	-9.494975, 9.494975	
14.505025, -8.505025	9.494975, -8.505025	9.494975, -3.494975	14.505025, -3.494975	
-3.494975, 14.505025	-3.494975, 9.494975	-8.505025, 9.494975	-8.505025, 14.505025	
8.505025, 8.505025	8.505025, 3.494975	3.494975, 3.494975	3.494975, 8.505025	
9.494975, 2.505025	9.494975, -2.505025	14.505025, -2.505025	14.505025, 2.505025	
2.505025, 9.494975	-2.505025, 9.494975	-2.505025, 14.505025	2.505025, 14.505025	
9.494975, 8.505025	14.505025, 8.505025	14.505025, 3.494975	9.494975, 3.494975	
8.505025, 9.494975	8.505025, 14.505025	3.494975, 14.505025	3.494975, 9.494975	
9.494975, 9.494975	14.505025, 9.494975	14.505025, 14.505025	9.494975, 14.505025	
