NumRegions = 25
-13.570711, -13.570711	-22.429289, -13.570711	-22.429289, -22.429289	-13.570711, -22.429289	
-4.570711, -13.570711	-13.429289, -13.570711	-13.429289, -22.429289	-4.570711, -22.429289	
-13.570711, -13.429289	-13.570711, -4.570711	-22.429289, -4.570711	-22.429289, -13.429289	
-13.429289, -13.429289	-13.429289, -4.570711	-4.570711, -4.570711	-4.570711, -13.429289	
-4.429289, -22.429289	4.429289, -22.429289	4.429289, -13.570711	-4.429289, -13.570711	
-13.570711, 4.429289	-22.429289, 4.429289	-22.429289, -4.429289	-13.570711, -4.429289	
-4.429289, -13.429289	4.429289, -13.429289	4.429289, -4.570711	-4.429289, -4.570711	
-13.429289, 4.429289	-13.429289, -4.429289	-4.570711, -4.429289	-4.570711, 4.429289	
4.570711, -22.429289	13.429289, -22.429289	13.429289, -13.570711	4.570711, -13.570711	
-13.570711, 4.570711	-13.570711, 13.429289	-22.429289, 13.429289	-22.429289, 4.570711	
4.429289, 4.429289	-4.429289, 4.429289	-4.429289, -4.429289	4.429289, -4.429289	
13.429289, -4.570711	13.429289, -13.429289	4.570711, -13.429289	4.570711, -4.570711	
-13.429289, 4.570711	-13.429289, 13.429289	-4.570711, 13.429289	-4.570711, 4.570711	
13.429289, 4.429289	4.570711, 4.429289	4.570711, -4.429289	13.429289, -4.429289	
4.429289, 4.570711	-4.429289, 4.570711	-4.429289, 13.429289	4.429289, 13.429289	
22.429289, -22.429289	22.429289, -13.570711	13.570711, -13.570711	13.570711, -22.429289	
-13.570711, 13.570711	-13.570711, 22.429289	-22.429289, 22.429289	-22.429289, 13.570711	
13.570711, -4.570711	13.570711, -13.429289	22.429289, -13.429289	22.429289, -4.570711	
-13.429289, 13.570711	-4.570711, 13.570711	-4.570711, 22.429289	-13.429289, 22.429289	
13.429289, 4.570711	13.429289, 13.429289	4.570711, 13.429289	4.570711, 4.570711	
13.570711, -4.429289	13.570711, 4.429289	22.429289, 4.429289	22.429289, -4.429289	
4.429289, 13.570711	-4.429289, 13.570711	-4.429289, 22.429289	4.429289, 22.429289	
13.570711, 4.570711	22.429289, 4.570711	22.429289, 13.429289	13.570711, 13.429289	
13.429289, 13.570711	13.429289, 22.429289	4.570711, 22.429289	4.570711, 13.570711	
13.570711, 13.570711	22.429289, 13.570711	22.429289, 22.429289	13.570711, 22.429289	
