H1	599983.427155	-486329.632262
H2	439818.905969	-487091.014233
H3	425850.844516	-484832.216018
H4	425172.634885	-484769.479628
H5	422260.715348	456974.737563
H6	419896.806612	-485040.657458
H7	438124.204923	477467.673321
H8	414500.384198	-482924.865845
H9	419575.451337	-485704.362117
H10	422207.191036	484966.368283
H11	437217.539607	486314.285438
H12	413154.505585	482913.819789
H13	423952.308166	-487281.036388
H14	412570.073832	-487886.543853
H15	411261.021672	464663.356452
H16	415476.245078	483071.969565
H17	423875.908153	466828.283845
H18	410108.006647	484237.399887
H19	420018.709026	478180.817524
H20	411150.952768	475814.680282
H21	410565.948101	406515.901928
H22	436607.209547	-487283.49246
H23	412689.943791	481638.812558
H24	416118.325151	-485018.060711
H25	409448.600633	444830.082037
H26	410927.196436	-488776.20272
H27	415607.946047	484349.320225
H28	425525.296221	485126.738895
H29	411948.97349	467290.226527
H30	409328.546338	354475.746478
H31	429551.005532	-482079.174359
H32	410523.249065	-489425.129107
H33	409116.500108	-482532.565452
H34	415002.805097	-480658.691793
H35	410946.556948	-485282.059249
H36	425761.663034	484685.392712
H37	413484.807763	386514.212379
H38	408956.060872	482362.738198
H39	433232.826434	485809.78868
H40	418642.396636	484105.43391
H41	421910.817231	484162.271711
H42	417529.709658	478492.3219
H43	411868.175005	475936.785208
H44	411650.855518	-482577.925416
H45	410571.87754	-476229.31957
H46	409759.243281	476921.369099
H47	416461.40117	-485799.950971
H48	411017.492631	483664.876662
H49	415770.839969	484117.651913
H50	434598.666055	485517.065577
H51	429634.22931	484916.740851
H52	413834.467127	479301.373656
H53	427648.19966	467325.073043
H54	411390.87862	-479673.354048
H55	424508.009557	484323.625906
H56	411519.005497	476128.866572
H57	442993.118084	486743.485991
H58	413407.667025	465019.133329
H59	438347.781707	486076.175294
H60	433646.380482	-487188.948919
H61	420116.404275	484774.866024
H62	428248.068395	-481243.278905
H63	426348.697908	484770.626782
H64	414300.295966	-486329.340848
H65	416550.857795	483617.332846
H66	423063.870379	485133.825055
H67	414561.919236	-480810.052088
H68	423829.589451	460690.692637
H69	422454.042383	-487779.283332
H70	439244.982674	486934.303021
H71	423790.315989	369336.031583
H72	418714.485199	-485273.346104
H73	436493.5287	476619.107013
H74	425343.384216	-485085.442951
H75	432530.639351	-485307.721557
H76	430734.847363	-484939.298825
H77	443156.396811	-486853.863247
