NumRegions = 25
-17.429289, -17.429289	-10.570711, -17.429289	-10.570711, -10.570711	-17.429289, -10.570711	
-10.429289, -17.429289	-3.570711, -17.429289	-3.570711, -10.570711	-10.429289, -10.570711	
-17.429289, -3.570711	-10.570711, -3.570711	-10.570711, -10.429289	-17.429289, -10.429289	
-10.429289, -3.570711	-10.429289, -10.429289	-3.570711, -10.429289	-3.570711, -3.570711	
3.429289, -10.570711	3.429289, -17.429289	-3.429289, -17.429289	-3.429289, -10.570711	
-10.570711, 3.429289	-17.429289, 3.429289	-17.429289, -3.429289	-10.570711, -3.429289	
-3.429289, -10.429289	3.429289, -10.429289	3.429289, -3.570711	-3.429289, -3.570711	
-3.570711, 3.429289	-10.429289, 3.429289	-10.429289, -3.429289	-3.570711, -3.429289	
3.570711, -10.570711	10.429289, -10.570711	10.429289, -17.429289	3.570711, -17.429289	
-10.570711, 3.570711	-10.570711, 10.429289	-17.429289, 10.429289	-17.429289, 3.570711	
-3.429289, 3.429289	3.429289, 3.429289	3.429289, -3.429289	-3.429289, -3.429289	
3.570711, -3.570711	10.429289, -3.570711	10.429289, -10.429289	3.570711, -10.429289	
-10.429289, 3.570711	-10.429289, 10.429289	-3.570711, 10.429289	-3.570711, 3.570711	
10.429289, 3.429289	3.570711, 3.429289	3.570711, -3.429289	10.429289, -3.429289	
3.429289, 10.429289	-3.429289, 10.429289	-3.429289, 3.570711	3.429289, 3.570711	
17.429289, -17.429289	10.570711, -17.429289	10.570711, -10.570711	17.429289, -10.570711	
-10.570711, 10.570711	-10.570711, 17.429289	-17.429289, 17.429289	-17.429289, 10.570711	
10.570711, -3.570711	10.570711, -10.429289	17.429289, -10.429289	17.429289, -3.570711	
-10.429289, 10.570711	-10.429289, 17.429289	-3.570711, 17.429289	-3.570711, 10.570711	
10.429289, 10.429289	10.429289, 3.570711	3.570711, 3.570711	3.570711, 10.429289	
10.570711, 3.429289	17.429289, 3.429289	17.429289, -3.429289	10.570711, -3.429289	
3.429289, 10.570711	-3.429289, 10.570711	-3.429289, 17.429289	3.429289, 17.429289	
10.570711, 10.429289	17.429289, 10.429289	17.429289, 3.570711	10.570711, 3.570711	
10.429289, 10.570711	3.570711, 10.570711	3.570711, 17.429289	10.429289, 17.429289	
10.570711, 17.429289	17.429289, 17.429289	17.429289, 10.570711	10.570711, 10.570711	
