NumRegions = 25
-17.474874, -17.474874	-22.525126, -17.474874	-22.525126, -22.525126	-17.474874, -22.525126	
-7.474874, -17.474874	-12.525126, -17.474874	-12.525126, -22.525126	-7.474874, -22.525126	
-17.474874, -12.525126	-17.474874, -7.474874	-22.525126, -7.474874	-22.525126, -12.525126	
-12.525126, -12.525126	-12.525126, -7.474874	-7.474874, -7.474874	-7.474874, -12.525126	
-2.525126, -22.525126	2.525126, -22.525126	2.525126, -17.474874	-2.525126, -17.474874	
-17.474874, 2.525126	-22.525126, 2.525126	-22.525126, -2.525126	-17.474874, -2.525126	
-2.525126, -12.525126	2.525126, -12.525126	2.525126, -7.474874	-2.525126, -7.474874	
-12.525126, 2.525126	-12.525126, -2.525126	-7.474874, -2.525126	-7.474874, 2.525126	
7.474874, -22.525126	12.525126, -22.525126	12.525126, -17.474874	7.474874, -17.474874	
-17.474874, 7.474874	-17.474874, 12.525126	-22.525126, 12.525126	-22.525126, 7.474874	
-2.525126, -2.525126	2.525126, -2.525126	2.525126, 2.525126	-2.525126, 2.525126	
12.525126, -7.474874	7.474874, -7.474874	7.474874, -12.525126	12.525126, -12.525126	
-12.525126, 7.474874	-12.525126, 12.525126	-7.474874, 12.525126	-7.474874, 7.474874	
12.525126, 2.525126	7.474874, 2.525126	7.474874, -2.525126	12.525126, -2.525126	
2.525126, 12.525126	-2.525126, 12.525126	-2.525126, 7.474874	2.525126, 7.474874	
22.525126, -22.525126	22.525126, -17.474874	17.474874, -17.474874	17.474874, -22.525126	
-17.474874, 17.474874	-17.474874, 22.525126	-22.525126, 22.525126	-22.525126, 17.474874	
22.525126, -7.474874	22.525126, -12.525126	17.474874, -12.525126	17.474874, -7.474874	
-12.525126, 17.474874	-12.525126, 22.525126	-7.474874, 22.525126	-7.474874, 17.474874	
12.525126, 12.525126	7.474874, 12.525126	7.474874, 7.474874	12.525126, 7.474874	
17.474874, 2.525126	22.525126, 2.525126	22.525126, -2.525126	17.474874, -2.525126	
2.525126, 17.474874	-2.525126, 17.474874	-2.525126, 22.525126	2.525126, 22.525126	
22.525126, 12.525126	17.474874, 12.525126	17.474874, 7.474874	22.525126, 7.474874	
12.525126, 17.474874	12.525126, 22.525126	7.474874, 22.525126	7.474874, 17.474874	
17.474874, 17.474874	22.525126, 17.474874	22.525126, 22.525126	17.474874, 22.525126	
