NumRegions = 25
-27.429289, -16.570711	-27.429289, -27.429289	-16.570711, -27.429289	-16.570711, -16.570711	
-5.570711, -27.429289	-5.570711, -16.570711	-16.429289, -16.570711	-16.429289, -27.429289	
-27.429289, -16.429289	-16.570711, -16.429289	-16.570711, -5.570711	-27.429289, -5.570711	
-16.429289, -5.570711	-5.570711, -5.570711	-5.570711, -16.429289	-16.429289, -16.429289	
-5.429289, -27.429289	-5.429289, -16.570711	5.429289, -16.570711	5.429289, -27.429289	
-16.570711, 5.429289	-27.429289, 5.429289	-27.429289, -5.429289	-16.570711, -5.429289	
-5.429289, -16.429289	-5.429289, -5.570711	5.429289, -5.570711	5.429289, -16.429289	
-16.429289, 5.429289	-5.570711, 5.429289	-5.570711, -5.429289	-16.429289, -5.429289	
16.429289, -27.429289	5.570711, -27.429289	5.570711, -16.570711	16.429289, -16.570711	
-27.429289, 5.570711	-16.570711, 5.570711	-16.570711, 16.429289	-27.429289, 16.429289	
5.429289, 5.429289	5.429289, -5.429289	-5.429289, -5.429289	-5.429289, 5.429289	
16.429289, -5.570711	5.570711, -5.570711	5.570711, -16.429289	16.429289, -16.429289	
-16.429289, 5.570711	-5.570711, 5.570711	-5.570711, 16.429289	-16.429289, 16.429289	
16.429289, -5.429289	16.429289, 5.429289	5.570711, 5.429289	5.570711, -5.429289	
5.429289, 16.429289	-5.429289, 16.429289	-5.429289, 5.570711	5.429289, 5.570711	
16.570711, -16.570711	16.570711, -27.429289	27.429289, -27.429289	27.429289, -16.570711	
-16.570711, 27.429289	-27.429289, 27.429289	-27.429289, 16.570711	-16.570711, 16.570711	
16.570711, -5.570711	27.429289, -5.570711	27.429289, -16.429289	16.570711, -16.429289	
-5.570711, 27.429289	-5.570711, 16.570711	-16.429289, 16.570711	-16.429289, 27.429289	
16.429289, 5.570711	16.429289, 16.429289	5.570711, 16.429289	5.570711, 5.570711	
27.429289, 5.429289	27.429289, -5.429289	16.570711, -5.429289	16.570711, 5.429289	
-5.429289, 27.429289	5.429289, 27.429289	5.429289, 16.570711	-5.429289, 16.570711	
27.429289, 5.570711	16.570711, 5.570711	16.570711, 16.429289	27.429289, 16.429289	
5.570711, 16.570711	5.570711, 27.429289	16.429289, 27.429289	16.429289, 16.570711	
16.570711, 16.570711	27.429289, 16.570711	27.429289, 27.429289	16.570711, 27.429289	
