NumRegions = 25
-15.479899, -15.479899	-20.520101, -15.479899	-20.520101, -20.520101	-15.479899, -20.520101	
-6.479899, -15.479899	-11.520101, -15.479899	-11.520101, -20.520101	-6.479899, -20.520101	
-15.479899, -11.520101	-15.479899, -6.479899	-20.520101, -6.479899	-20.520101, -11.520101	
-11.520101, -11.520101	-11.520101, -6.479899	-6.479899, -6.479899	-6.479899, -11.520101	
-2.520101, -20.520101	2.520101, -20.520101	2.520101, -15.479899	-2.520101, -15.479899	
-15.479899, 2.520101	-20.520101, 2.520101	-20.520101, -2.520101	-15.479899, -2.520101	
-2.520101, -11.520101	2.520101, -11.520101	2.520101, -6.479899	-2.520101, -6.479899	
-11.520101, 2.520101	-11.520101, -2.520101	-6.479899, -2.520101	-6.479899, 2.520101	
6.479899, -20.520101	11.520101, -20.520101	11.520101, -15.479899	6.479899, -15.479899	
-15.479899, 6.479899	-15.479899, 11.520101	-20.520101, 11.520101	-20.520101, 6.479899	
2.520101, 2.520101	-2.520101, 2.520101	-2.520101, -2.520101	2.520101, -2.520101	
11.520101, -6.479899	11.520101, -11.520101	6.479899, -11.520101	6.479899, -6.479899	
-11.520101, 6.479899	-11.520101, 11.520101	-6.479899, 11.520101	-6.479899, 6.479899	
11.520101, 2.520101	6.479899, 2.520101	6.479899, -2.520101	11.520101, -2.520101	
2.520101, 6.479899	-2.520101, 6.479899	-2.520101, 11.520101	2.520101, 11.520101	
20.520101, -20.520101	20.520101, -15.479899	15.479899, -15.479899	15.479899, -20.520101	
-15.479899, 15.479899	-15.479899, 20.520101	-20.520101, 20.520101	-20.520101, 15.479899	
15.479899, -6.479899	15.479899, -11.520101	20.520101, -11.520101	20.520101, -6.479899	
-11.520101, 15.479899	-6.479899, 15.479899	-6.479899, 20.520101	-11.520101, 20.520101	
11.520101, 6.479899	11.520101, 11.520101	6.479899, 11.520101	6.479899, 6.479899	
15.479899, -2.520101	15.479899, 2.520101	20.520101, 2.520101	20.520101, -2.520101	
2.520101, 15.479899	-2.520101, 15.479899	-2.520101, 20.520101	2.520101, 20.520101	
15.479899, 6.479899	20.520101, 6.479899	20.520101, 11.520101	15.479899, 11.520101	
11.520101, 15.479899	11.520101, 20.520101	6.479899, 20.520101	6.479899, 15.479899	
15.479899, 15.479899	20.520101, 15.479899	20.520101, 20.520101	15.479899, 20.520101	
