NumRegions = 25
-18.515076, -13.484924	-18.515076, -18.515076	-13.484924, -18.515076	-13.484924, -13.484924	
-10.515076, -13.484924	-5.484924, -13.484924	-5.484924, -18.515076	-10.515076, -18.515076	
-18.515076, -10.515076	-13.484924, -10.515076	-13.484924, -5.484924	-18.515076, -5.484924	
-10.515076, -10.515076	-5.484924, -10.515076	-5.484924, -5.484924	-10.515076, -5.484924	
-2.515076, -18.515076	2.515076, -18.515076	2.515076, -13.484924	-2.515076, -13.484924	
-13.484924, 2.515076	-13.484924, -2.515076	-18.515076, -2.515076	-18.515076, 2.515076	
-2.515076, -10.515076	-2.515076, -5.484924	2.515076, -5.484924	2.515076, -10.515076	
-10.515076, 2.515076	-5.484924, 2.515076	-5.484924, -2.515076	-10.515076, -2.515076	
10.515076, -18.515076	5.484924, -18.515076	5.484924, -13.484924	10.515076, -13.484924	
-13.484924, 5.484924	-18.515076, 5.484924	-18.515076, 10.515076	-13.484924, 10.515076	
-2.515076, 2.515076	-2.515076, -2.515076	2.515076, -2.515076	2.515076, 2.515076	
10.515076, -10.515076	5.484924, -10.515076	5.484924, -5.484924	10.515076, -5.484924	
-10.515076, 5.484924	-5.484924, 5.484924	-5.484924, 10.515076	-10.515076, 10.515076	
10.515076, 2.515076	5.484924, 2.515076	5.484924, -2.515076	10.515076, -2.515076	
-2.515076, 10.515076	-2.515076, 5.484924	2.515076, 5.484924	2.515076, 10.515076	
13.484924, -18.515076	13.484924, -13.484924	18.515076, -13.484924	18.515076, -18.515076	
-13.484924, 13.484924	-18.515076, 13.484924	-18.515076, 18.515076	-13.484924, 18.515076	
18.515076, -10.515076	18.515076, -5.484924	13.484924, -5.484924	13.484924, -10.515076	
-5.484924, 18.515076	-10.515076, 18.515076	-10.515076, 13.484924	-5.484924, 13.484924	
10.515076, 10.515076	10.515076, 5.484924	5.484924, 5.484924	5.484924, 10.515076	
18.515076, 2.515076	13.484924, 2.515076	13.484924, -2.515076	18.515076, -2.515076	
-2.515076, 18.515076	2.515076, 18.515076	2.515076, 13.484924	-2.515076, 13.484924	
13.484924, 10.515076	18.515076, 10.515076	18.515076, 5.484924	13.484924, 5.484924	
10.515076, 13.484924	5.484924, 13.484924	5.484924, 18.515076	10.515076, 18.515076	
18.515076, 13.484924	13.484924, 13.484924	13.484924, 18.515076	18.515076, 18.515076	
